1,1462,4
1,1378,4
1,818,3
1,2070,5
1,2121,1
1,1058,3
1,1642,1
1,493,4
1,1311,5
1,969,2
1,1921,4
1,967,5
1,1405,1
1,1524,3
1,2234,4
1,1976,5
1,2344,3
1,909,4
1,2115,3
1,110,5
1,783,4
1,2179,4
1,651,2
1,1471,2
1,2253,4
1,1753,5
1,267,1
1,1540,4
1,927,2
1,1277,5
1,194,3
1,2026,4
1,955,5
1,2152,2
1,2063,5
1,475,2
1,380,3
1,1022,1
1,2154,1
1,1517,3
1,1478,4
1,1429,1
2,2196,4
2,902,3
2,441,2
2,666,4
2,2046,3
2,2026,2
2,1188,1
2,1837,4
2,747,3
2,1229,4
2,333,3
2,1611,4
2,1955,1
2,1183,4
2,825,4
2,951,2
2,418,4
2,1997,5
2,971,4
2,1395,1
3,1414,3
3,1998,1
3,2129,5
3,681,5
3,1814,3
3,1455,3
3,342,3
3,478,4
3,1625,1
3,2228,3
3,51,5
3,2268,4
3,838,4
3,1060,1
3,210,2
3,751,1
3,953,3
3,209,5
3,34,3
4,197,3
4,1469,1
4,144,1
4,1937,4
4,655,1
4,580,3
4,488,2
4,2060,4
4,1544,2
4,315,5
4,1172,1
4,1625,4
4,63,1
4,854,5
4,1659,4
4,1483,3
4,1583,2
4,1282,5
4,611,2
4,345,5
4,2200,3
4,2109,3
4,1838,2
4,1894,2
4,871,2
4,1683,1
4,2141,4
4,812,5
6,931,1
6,763,4
6,114,4
6,1346,2
6,1163,5
6,1709,4
6,2038,1
6,1310,3
6,1117,4
6,294,3
7,22,5
7,1054,4
7,148,3
7,419,5
7,1073,2
7,885,1
7,1467,4
7,1921,4
7,161,3
7,1907,4
7,1121,2
7,163,5
7,237,1
7,878,1
7,1750,4
7,1091,4
7,178,5
7,2001,5
7,413,4
7,65,3
7,272,3
7,1921,3
7,1883,2
7,1343,3
7,1493,3
7,1387,5
7,1329,5
7,606,2
7,2305,3
7,1332,5
7,1452,2
7,1420,2
7,1283,1
7,502,2
7,1584,4
7,1464,3
7,1669,2
7,479,3
7,8,5
7,1349,5
7,2138,5
7,2098,1
7,1860,3
7,1556,1
7,1521,3
8,16,1
8,1554,5
8,705,2
8,1231,4
8,1807,3
8,1144,5
8,2355,5
8,1485,2
8,1387,2
8,796,5
8,456,1
8,1475,2
8,2171,3
8,1108,2
8,634,5
8,121,1
8,1155,1
8,1277,2
8,1066,3
8,705,4
8,2206,4
8,16,4
8,902,4
8,133,2
8,1746,2
8,1443,3
8,1556,3
8,1101,5
8,809,2
8,64,5
8,1343,2
8,989,4
8,1474,3
8,1256,5
9,2307,2
9,1183,2
9,329,5
9,866,5
9,1909,5
9,1599,4
9,1011,3
9,1776,4
9,1622,1
9,2235,4
9,2290,2
9,427,4
9,681,3
9,1035,3
9,455,4
9,571,1
9,1981,4
9,705,1
9,1860,1
9,168,2
9,1305,1
9,1814,1
9,958,3
10,2307,1
10,641,2
10,2069,2
10,2166,3
10,705,5
10,2223,1
10,1281,3
10,1700,1
10,1642,2
10,847,5
10,539,3
10,871,3
10,2001,1
11,1212,3
11,823,1
11,1725,4
11,955,3
11,312,1
11,87,1
11,1062,1
11,1160,4
11,1777,4
11,1214,5
11,538,1
11,978,5
11,861,3
11,2315,3
11,1205,4
11,1932,5
11,1098,1
11,1935,4
11,731,4
11,718,5
11,2170,4
11,894,3
11,2313,5
11,1022,5
11,1549,2
11,1834,1
11,2312,4
11,1483,1
11,1408,4
11,1355,1
11,1888,1
12,2033,1
12,1750,3
12,2249,3
12,1006,4
12,958,2
12,989,1
12,2292,5
12,2160,5
12,1806,3
12,1987,2
12,1151,1
12,1863,2
12,302,2
12,1611,5
12,553,5
12,2130,2
12,1800,1
12,1722,1
12,674,5
12,263,3
13,724,2
13,1684,2
13,474,4
13,292,5
13,210,4
13,1757,5
13,2108,2
13,545,4
13,668,3
13,421,1
13,1030,2
14,1776,4
14,1422,3
14,813,4
14,2293,1
14,2007,5
14,150,4
14,1363,3
14,904,4
14,418,3
14,338,1
14,655,2
14,1501,3
14,396,1
14,2192,1
14,1064,2
14,981,4
14,1999,2
14,687,1
14,1869,3
14,1630,3
14,942,1
14,649,1
14,2175,1
14,2174,3
14,148,4
14,265,2
14,2075,1
14,35,3
14,1828,2
14,750,5
14,456,1
14,865,4
14,2050,5
14,918,1
14,460,3
14,816,3
14,175,1
14,1927,2
14,1528,3
14,1116,4
14,2269,1
14,2025,4
14,1972,2
14,112,1
14,1559,5
15,2192,5
15,904,4
15,791,3
15,1273,1
15,1429,1
15,649,1
15,411,2
16,1589,4
16,1553,4
16,765,3
16,384,5
16,797,5
16,814,5
16,1300,4
16,2216,5
16,606,5
16,1408,4
16,1409,1
16,1547,4
16,974,3
16,1843,3
16,2134,2
16,285,3
16,1154,3
16,1201,2
16,1197,3
16,191,4
16,340,5
16,901,5
16,633,4
16,1580,3
16,1164,2
16,1002,4
16,2092,3
16,799,2
16,700,5
16,519,2
16,72,3
16,652,3
16,58,1
16,1165,4
16,1629,3
16,1929,1
16,1629,4
16,1038,1
16,1579,4
16,2254,2
16,1845,4
16,960,1
16,1151,1
16,2020,5
17,668,5
17,1603,1
17,1920,3
17,1132,2
17,1039,2
17,2034,3
17,608,4
17,1688,3
17,386,1
17,1103,3
17,537,1
17,1466,5
17,130,3
17,280,3
17,1669,4
17,1623,4
17,1681,5
17,1975,3
17,420,2
17,127,3
17,1583,1
17,996,5
17,1623,1
17,126,1
17,975,3
17,1597,4
17,65,2
17,2291,5
17,2282,1
17,1413,5
17,299,4
17,2241,4
17,769,1
17,2061,5
17,1200,5
17,2115,2
17,2188,4
17,1264,4
17,1604,2
17,1868,5
17,875,2
17,182,4
17,1927,2
18,485,3
18,2088,3
18,1236,2
18,114,3
18,298,3
18,978,5
18,225,2
18,1502,5
18,1490,2
19,155,2
19,2237,4
19,1915,3
19,1954,4
19,2094,2
19,680,5
19,916,1
19,549,5
19,415,5
20,1924,1
20,2125,4
20,950,3
20,108,5
20,440,4
20,1041,2
20,1388,3
20,416,1
20,1658,2
20,1696,1
20,1705,3
20,1527,5
20,1322,5
21,585,1
21,2075,5
21,390,4
21,1778,5
21,492,5
21,2276,5
21,24,2
21,1209,4
21,507,3
21,1698,4
21,109,4
21,1856,5
21,1087,1
21,94,1
21,1652,1
21,159,5
21,269,1
21,22,4
21,1471,4
21,1301,2
21,990,3
21,2348,3
21,1443,2
21,434,4
21,195,3
21,1434,2
21,2164,4
21,514,1
21,641,4
21,296,3
21,2203,1
21,1601,4
21,667,2
21,756,1
21,164,2
21,1849,3
21,193,2
21,2232,3
21,1431,3
21,1148,1
21,1712,4
21,1756,3
21,1740,4
21,1285,4
21,1467,5
21,465,4
21,1999,2
21,1450,2
21,964,5
22,2204,3
22,945,5
22,788,5
22,2054,4
22,161,3
22,1981,3
22,1135,3
22,1559,4
22,576,5
22,178,3
22,187,1
22,262,4
22,2327,2
22,749,2
22,1710,2
22,86,3
22,1474,4
22,1599,1
22,1787,3
22,1848,4
22,1471,1
22,559,4
22,1438,5
22,938,2
23,1564,2
23,1177,5
23,1859,1
23,743,5
23,1383,1
23,987,4
23,2303,1
23,656,5
23,218,2
23,2148,4
23,780,1
23,2279,2
23,523,5
23,806,2
23,763,5
23,1472,3
23,1615,3
23,1899,2
23,214,5
23,1681,4
23,75,4
23,1366,4
23,1233,5
23,31,4
23,946,4
23,1355,3
23,1621,5
23,828,4
23,1376,2
23,1780,5
24,1709,5
24,50,2
24,1617,4
24,483,1
24,2039,1
24,2059,1
24,264,1
24,1465,1
24,1410,4
25,1429,4
25,457,3
25,1770,5
25,2351,2
25,1008,3
25,27,2
25,2305,5
25,1174,4
25,1473,2
25,1118,2
25,2020,3
25,509,4
25,2033,2
25,1781,1
25,897,1
25,1610,5
25,1839,1
25,1702,5
25,418,1
25,1612,4
25,2217,1
25,1179,3
25,2306,4
25,1319,5
25,193,2
25,1792,4
25,703,5
25,516,4
25,2317,1
25,76,2
25,2069,4
25,705,2
25,2051,1
25,446,1
25,726,4
25,2254,2
25,1706,3
25,486,5
25,1378,1
25,2146,3
25,2257,1
25,1864,1
25,1426,1
25,362,4
25,904,1
25,1765,5
25,1455,2
26,509,1
26,519,2
26,2182,3
26,718,4
26,2258,3
26,1749,2
26,1245,3
26,1558,3
26,1745,2
26,651,2
27,2028,2
27,678,3
27,1372,3
27,431,1
27,1292,1
27,58,2
27,864,1
27,1534,4
27,334,5
27,721,5
27,158,1
27,1301,1
27,1075,5
27,960,5
27,1620,3
27,2148,4
27,18,4
27,1315,1
27,1086,4
27,2309,5
27,391,3
27,2048,3
27,1555,2
27,304,1
27,1975,4
27,201,2
27,565,4
27,969,2
27,1701,4
27,1421,2
27,838,2
27,205,4
27,209,3
27,1940,5
27,80,4
27,586,2
27,1143,1
27,1234,2
27,2127,1
27,1595,1
27,454,2
27,1783,4
27,2219,3
27,2007,2
27,1156,3
27,1593,2
27,1740,5
27,1462,4
27,327,1
28,61,3
28,2068,5
28,229,2
28,2170,2
28,552,5
28,1245,2
28,592,4
28,54,2
28,1527,4
28,1219,5
28,1211,1
28,895,4
28,1270,1
28,1996,4
28,433,1
28,1137,1
28,1442,3
28,391,1
28,1899,4
28,248,1
28,927,5
28,2155,3
28,429,1
28,1287,4
28,143,2
28,1629,2
28,839,1
28,546,5
28,1206,2
28,1232,1
28,1474,1
28,1675,5
